text
"Да, это мод на 0.7, но это не олдскулл проект"
В моём новом моде будет очень весёлый геймплей
"Ребзики, я щас делаю мод на тишку 0.7. Очень простой проект, и я его делаю что бы вы не думали то что я ничего не делаю"
"Блин меня не подключило потому что нельзя из Украины подключится на сервер Росии, но всё равно надеюсь кто то запишет"
"А к слову, а будет ли видео на ютубе про этот челендж или что то типо того"
ОЧЕНЬ ПОПУЛЯРНЫЙ ЧЕЛЕНДЖ
КАПЕЦ ТУТ ЕСТЬ ТЕХНОНИК 0_0
"А к слову, ты участвуешь в его челендже?"
Или как?
"А к слову, эти прятки для видео на ютуб?"
К слову я участвую
"Наверно да, но лучше всё таки дождись ответа"
Главное теперь мне не выгореть опять
"А второе, ребята, вы заметили как быстро пошёл прогресс по TWL? Всё это из-за того что начались летние каникулы, так ещё и я немного отдохнул от выгорания"
"И также я думаю добавить больше декораций на фон для TWL. Тоесть например горы, воду вниз. И тд"
"Блин матодор, почему ты не выложил карты флетсити из 2025 года? Почему в репозитории только из 2024?"
А именно новый RP сервер в тишке
Короче говоря когда я сделаю первую нормальную и рабочую версию TWL я планирую сделать новый проект
Но всё равно там почти никто не сидит
"Не, я помню ещё матодор и аниме обсуждали мод на тишку"
"К слову  <@182902341119377409>, у меня есть пару идей для тебя. 

Ты или можешь удалить канал флетсити, или же оставить его как архив, или же запустить сервер, или же оставить всё как есть (но это самый худший варик)."
Мы ещё в 6 классе на математике
Да хоть перпендикулярные
Хотя линия это не кот
Да можно
"Да, можно делать треугольники, и другие формы"
"И ровно такой же можно увидеть в раних версиях Teewars из 2003-2004 (Да, вы можете сказать то что тв вышел в 2007, но до этого были тестовые прототипы)"
Потому что тут абсолютно другой тип карты
Да
Просто очень красиво
"Добавил в игру, и просто смотрите как это сочно выглядит"
"Каждый сам решает что для него олдскулл, но для меня лично это опенсоурс игры нулевых годов сделаные 1 человеком"
"И тут не просто иконки, а тут ещё и анимированые через POV-Ray иконки"
Того же года как и крипер2004
И это уже было в ноунейм игре 2004 года
Не из мейкфайла читают а из readme
"Ну и не забывайте то что позже я планирую добавить новую фишку, а именно тег color в формат файла twlm"
"Да, может позже я буду добавлять больше разных декораций, но я думаю пока этих хватает что бы придумывать разные дизайны"
И щас я работаю над декорациями. Скажите что думаете. Вот так это +- должно выглядить
Ну может кто то узнает про Teeworlds из ютуба и видосиков по моей игре
Также я сделал новое меню Help
"Ребята, в скором времени я буду иметь больше времени на TWL. Всё это из-за того что скоро будут летние каникулы"
"И к слову, ребята, стоит ли мне поменять спрайт лазера (просто он такой же как и у дробовика)? Просто когда я их делал то я думал вообще не добавлять лазер, но потом понял то что много людей любят это оружие, и решил вернуть."
"К слову да, можно ввиде хука"
"Вот пофиксил, теперь я думаю такой курсор оставить"
Нравится или же стоит переделать
"И к слову, скажите как вам"
"Ребята, добавил курсор в TWL, как по мне в меню он смотрится так себе, но зато в игре очень красиво"
"Берите, я итак эту фигню не куплю"
"КАПЕЦ, Я ЭТОТ ДОМЕН БЕРУ"
"Мда, очень шизофренический мульт был"
Да я сам не понимаю как раньше в 2024-2025 я это смоттрел
"Может ещё пару серий могу вспомнить, а так я уже всё по хтф забыл"
Да и я уже много серий с тех времён позабывал
Поэтому мне уже как то всё равно что там в фд ихнем
Я ещё потерял интерес в середине 2025 года
"И да, кажется то что я фанат хтф опять, но это не так"
Ну и про него ))))
"Ну я её лично покупал за 175 баксов, но я просто округлил до 200"
"И да, если кто то хочет купить такую себе то это модель WLToys 124007, и стоит плюс минус 200 баксов"
"На коробке написано 75, но по ощущениям плюс минус 40"
Ну и на колёсах не лучше
"Ну вот я её уже собрал, но мне стоит её вымыть (потому что вы сами видите сколько грязи тут"
"Есть конечно картинки после, и до"
"Блин, я ничего не записывал когда мы с батей перевернулись на машинке"
Вот это например полностью нормальная табуретка
"А машинка то грязная, и если я поставлю на нормальный стул, то тогда она его испачкает"
"Есть современые, просто эту не жаль испортить"
"Но если вы думаете то что у меня дома хреновые табуретки, то это не так"
Перепутал
"Да этой табуретке 40 лет, как и ковру"
"И да, я её уже собрал обратно"
"Тоесть когда я газую они уже реально крутятся с силой, а раньше я их мог остановить рукой"
Нужно ещё там подшипник настроить
"Короче говоря подкрутил, и вот уже задние колёса крутятся с большей силой, но всё равно ещё не так хорошо, как до удара"
"Нужно полностью заднюю ось разобрать, добраться до дифференциацала, и исправить положение шестерней и подшипников"
"Пока я её не дорабатываю, а чиню. А всё это потому что вчера я перевернулся, и перестал работать задний привод. Щас буду лесть в дирефенциал, и ставить шестерни"
"Капец, после поездки на rc машинки под акумом камни, и вообще везде она грязная 0_0"
"Короче говоря я придумал текст для песни ""Верните в моду сурж фордж""

`Верните в моду SF
где было очень тепло
И только рядом с SVN репозиторием
Я забывал обо всём
Верните в моду SF
я удаляю гитхаб
И git это сложная фигня, а в СФ нету репозиториев почти`"
КТО ХОТИТ ЧТО БЫ Я ВЕРНУЛ ЭДИТЫ ПО HTF В ТИКТОК? Ну просто от носталгии думаю сделать это
"Ладно, это шутка )))"
"Я создал новый сайт localhost:5000. На создание этого сайта я потратил 1000000 $ (в отличии от teewars legacy где я потратил 500 грн). И да, не буду говорить что на этом сайте, зайдите сами и посмотрите"
"Потому что для того что бы например сделать главную механику неоджампера нужно было просто обрабатывать нажатие на кнопки, и воспроизводить анимацию у джампера"
Знаете почему разработка Teewars legacy идет медленно? Из-за того что я никогда не делал физических движков и онлайн игр. Поэтому мне было легче и интереснее разрабатывать NeoJumper
"Да, и что бы это пофиксить надо поменять в редакторе карт текстуры"
ПЕРЕПУТАЛ
Как по мне ПЕРВЫЙ вариант лучше
"Короче говоря в честь выхода этого мода я решил помочь создателям этого мода, и исправил карту туториала (да да, они украли мою идею из 2025 года). Вот 1 вая картинка это моя версия, а вторая это версия из оригинала"
"РЕБЯТА, СЕГОДНЯ БУДЕТ ДРОП НОВОГО МОДА ПО TEEWORLDS А ИМЕННО ""Teeworlds achive"". И да, этот мод не от меня, и это по факту возраждения Teeworlds (потому что если посмотреть на репозиторий Teeworlds то там ничего нового нету с вроде лета 2025)"
"Капец, это реально можно купить 0_0"
Как вам идея купить лучше для википедии домен z-a-b-i-d-e-n-slayer-2013-srv-tee-worlds-free-xyz.xyz?
"Да да, помню какой был миниган несбалансированый и ты меня разкидывал на удлинёной DM 1"
Тогда я пересел на NeoJumper и словил выгорание
Он умер ещё в конце 2025
И он  живой в отличии от TWR
TWL это как раз новый тот что на новом движке
Да может ты перепутал TWL и TWR
"И знаете что, и я уже потихоньку понимаю то что лучше бы я релизнул лагучий TWR"
"И да, это вот сообщение где я отвечаю почему я забросил TWR"
Ну и новый олдскулл UI в стиле windows 2000 был очень неудобным и лагучим
"Знаете что я щас понимаю, я был почти готов релизнуть TWR, но не релизнул из-за того что понял что получился мусор"
"Ребята, я сделал так, что бы на minecraft.teewarslegacy.com.ua:25963 был наш сервер в майне"
"Ребзики, я обновил сайт, и добавил ЧаГо, и там есть очень важная инфа (примерная дата релиза TWL), можете зайти и глянуть. НО Я НЕ ГАРАНТИРУЮ ЧТО ВЫЙДЕТ ИМЕННО ТОГДА"
Случайно зашёл в войс чат
"Хотя не, всё таки домен не подходит. Если бы был бы zabidenminecraft.com.ua тогда да"
"К слову, как идея хостить сервер на Minecraft.teewarslegacy.com.ua?"
А это старый аккаунт
"Бро, они всегда были публично доступны 0_0. Это просто где то в 2025 у них закончились деньги, и они открыли спонсорство на ютубе"
"ВАУ, ВОТ ЭТО ОЛДСКУЛЛ!!! 2000Е!! (Ладно, я уже по олдскуллу схожу с ума )))) )"
"И да, я туда последний раз заходил в конце 2025 (что бы аву в дискорд поставить, да я мог бы с колобком из Teeworlds, но подумал то что это лучше)"
"Просто я хотел вас затролить, но эта новость оборвала это"
"*пты, я защёл на википедию по хтф, И ТУТ НОВАЯ СЕРИЯ ВЫШЛА, Я СКОЛЬКО УЖЕ НЕ ФАНАТЕЛ. Я ПРОСТО В ШОКЕ. Хоть я и не смотрел ещё её, но всё равно это меня ПОРАЖАЕТ. (Апдейт после того как я написал, я понял то что она для спонсоров ютуба)"
Только скажите на что
Как идея поменять аватарку? Просто как по мне она уже Outdated (потому что я уже не фанат Happy tree friends с середины 2025)
1 вый для исполнения js кода
"Ну и даже если посмотреть на последнию версию TWR то видно то что ещё немного отполировать интерфейс, немного подправить и будет релиз"
"Если вы думаете что я ничего не заканчиваю то вспомните https://zabidenhtf.github.io/js_online_ide/, ну и даже вспомните например TWR. Я его по факту забросил из-за того что я понял что этот проект пошёл не в ту сторону"
Это какой то наркоманский стиль
Или же переделаю
Поэтому я откачу это изменение
Хотя я думаю что выглядит всё таки хуже
"Изменил цвет на зелёный, выглядит лучше"
точнее матодора ))
"Да, уже если ты зайдёш туда то увидиш мой сайт"
Евробит ....
"ВАУ, КАК КРУТО СДЕЛАЛ МАТОДОР (я про сайт)"
"И к слову, я передумал добавлять рекламу в TWL, всё таки это будет так себе со стороны опенсоурс, ну и в англокомьюнити по тишке меня переубедили"
Ну обычную от гугл
"Ну не, вы считаете это нормально для опенсоурс проекта который не комерческий"
И к слову я добавил ссылку на гитхабе
"И скажите честно, вы готовы видеть рекламу на моём сайте? Просто нужно за домен платить"
"К слову ребята, правда хороший домен"
"Щас я просто тестирую хостинг, поэтому на сайте ничего нету"
https://github.com/zabidenhtf/TWL-Site
"Ребята, сайт TWL теперь активный"
Короче говоря сегодня домен teewarslegacy.com.ua куплен (до 2027). Пока я настраиваю сайт поэтому там ничего нету
"И да, сайт будет хоститься на github pages с редиректомна teewarslegacy.com.ua"
Также вариант хороший сom.ua
А как вы думаете
"Ребзики, короче говоря я думаю о домене TWL, и думаю выбрать или info или club или com"
"Да, он не доделаный, и я уже делаю TWL, но там есть как минимум геймплей (потому что он построен на базе 0.5)"
Это мод как раз сделаный мой в стиле олдскулл
Может лучше сервер на TWR?
По приколу так сказать
Да тут кто как
"Мы тогда в голосовухе сидели, и все это начали подхвачивать с <@853004923617017926> и <@312166027427446784>  (они первые поставили цифры в ник"
"Потому что раньше у нас был в Tee.Community мой друг 71 был, и он предложил эту идею"
"Ребята, может это для вас неожиданная новость, но я простил 71. Просто он уже я вижу изменился, и перестал репостить и заниматься хренью. Но я ещё подумаю стоит ли его впустить в Tee.community"
Но даже несмотря на это там будет дофига видео
"Но есть и раньше, но за них мне стыдно"
"И да, там видео плюс минус из начала 2025, конца 2024"
"Короче говоря скоро будет дроп кое чего. А именно моего старого аккаунта в тиктоке. Раньше про него знал только я и 71. Но теперь я его открою на публику. Но есть одно но. Я удалю мои старые кринжрвые видео и сохраню только то, за что мне не стыдно."
Кто поиграет в крестики нолики
"https://docs.google.com/spreadsheets/d/1oR3OItEW0ZA7C0sko-hcuhcOnbcu4hlyPVSXsu1LJdY/edit?usp=sharing

Короче говоря делайте с этой таблицей всё что хотите, вы можете писать и делать там что вы хотите"
"Да нет, это я по фану делаю"
Мне нехватило денег на Fast tracker
"Короче говоря я делаю как вы уже знаете уровень в гд с названием European 2000s cars. Дайте советы какую машину я должен добавить:


1. BMW e36
2.Жигули четырка (2114)
3.Жигули девятка
4.Mercedes w210"
"И к слову, теперь я каждый день буду писать сколько дней осталось до лета. Сегодня до лета осталось 23 дня"
"Ладно, завтра скачаю какой то майнкрафт лаунчер и к вам зайду."
Я не зашёл потому что думал что сервер будет на 1.5.2 или на более старой версии. Так ещё и учёба дофига занимает
Beta craft лучший лаунчер потом что там можно играть в версии только до 1.5.2. Ну и там есть шарм олдскула
"Короче говоря от скуки делаю уровень  в Geometry dash, и давайте вы угадаете музыку

Вот подсказки:

1. Эта музыка не на Newgrounds (т.е. её нужно качать и ставить самим)
2. Эта музыка на русском языке
3. Она из 2000х
4. Вот название, только с пропущеными буквами ""V.r.. - П...о.у т..."" (точка это секретная буква)"
Мой это the lighting road
А какой твой самый сложный уровень в gd который ты прошёл?
"Rust это так себе, лучше С++"
